mt_id,project_asv_id,project_sample_id,image_id,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,db_id,institution_code,ncbi_species,ncbi_id_rank,ncbi_taxid,locality,subregion,country,latitude,longitude,authors,genbank_accession,contigname,run_id,mmg_library_id,projectname,chimera_notes,variant_status,metadata_source,specimen_id,morphospecies,lowest_taxon,taxonomy_notes,collection_method,collection_method_category,collection_method_notes,plotid,province_state_territory,habitat
GBDL02854,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes fuscicollis,NA,NA,,NA,NA,NA,Fujian Province,NA,China,NA,NA,Sheng L. and Wu S.,OM161961,OM161961,NA,,,,,,NA,,Agriotes fuscicollis,,,,,,Hongwei,
GBDL02878,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Agrypnus,,Agrypnus murinus,NA,NA,,NA,NA,NA,,NA,,NA,NA,,OV816032,OV816032,NA,,,,,,NA,,Agrypnus murinus,,,,,,,
GBDL02968,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Tetralobinae,,,Sinelater,,Sinelater perroti,NA,NA,MYN-QL0025,NA,NA,NA,,NA,China,NA,NA,Qiu L.,OP613099,OP613099,NA,,,,,,NA,,Sinelater perroti,,,,,,,
GBDL03029,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,,,,,Agrypninae sp. GTI-132,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Huang w. and Song F. and Li H.,OP452711,OP452711,NA,,,,,,NA,,Agrypninae sp. GTI-132,,,,,,,
GBDL03111,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes lineatus,NA,NA,,NA,NA,NA,,NA,,NA,NA,King R.,OW618681,OW618681,NA,,,,,,NA,,Agriotes lineatus,,,,,,,
GBDL03112,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes hirayamai,NA,NA,,NA,NA,NA,Xinyang,NA,China,31.833,114.083,Lin A. and Zhao X. and Song N. and Zhao T.,MG728108,MG728108,NA,,,,,Mitochondrial DNA B Resour 3 (1) pages 290-291 (2018),NA,,Agriotes hirayamai,,,,,,Henan,
GBDL03115,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Tetralobinae,,,Sinelater,,Sinelater perroti,NA,NA,,NA,NA,NA,Guangdong province,NA,China,NA,NA,Chen X. and Jiang S. and Meng Z. and Ruan Y.,OM772654,OM772654,NA,,,,,,NA,,Sinelater perroti,,,,,,Qingyuan City,
GBDL03161,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Oxynopterinae,,,Sternocampsus,,Sternocampsus coriaceus,NA,NA,MYN-QL0011,NA,NA,NA,,NA,China,NA,NA,Qiu L.,OP613100,OP613100,NA,,,,,,NA,,Sternocampsus coriaceus,,,,,,,
GBDL03226,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes sp. GTI-106,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Huang w. and Song F. and Li H.,OP452713,OP452713,NA,,,,,,NA,,Agriotes sp. GTI-106,,,,,,,
GBDL03285,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,,Agriotes sp. GTI-28,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Huang w. and Song F. and Li H.,OP452712,OP452712,NA,,,,,,NA,,Agriotes sp. GTI-28,,,,,,,
GBDL03331,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Agrypnus,,Agrypnus binodulus,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Huang w. and Song F. and Li H.,OP452714,OP452714,NA,,,,,,NA,,Agrypnus binodulus,,,,,,,
GBDL03344,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Prosterninae,,,Ctenicera,,Ctenicera cuprea,NA,NA,,NA,NA,NA,,NA,,NA,NA,,OY284498,OY284498,NA,,,,,,NA,,Ctenicera cuprea,,,,,,,
GBDL03371,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Semiotinae,,,Campsosternus,,Campsosternus auratus,NA,NA,,NA,NA,NA,Guangdong province,NA,China,NA,NA,Chen X. and Jiang S. and Meng Z. and Ruan Y.,OM479514,OM479514,NA,,,,,,NA,,Campsosternus auratus,,,,,,Qingyuan City,
QINL00687,,MEla23,MElat23,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,5.31.0.0.15683,NA,QINL_library05,,,,,NA,,,,,,,,,
QINL00691,,MEla5,MElat5,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Agrypnus,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,5.35.0.0.15362,NA,QINL_library05,,,,,NA,,,,,,,,,
QINL00795,,MEla3,MElat3,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Melanotinae,Melanotini,,Melanotus,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,6.19.0.0.16051,NA,QINL_library06,,,,,NA,,,,,,,,,
QINL01218,,MEla17,MElat17,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,,,QINL00712m,NA,QINL_library05,,merged QINL00712+QINL00728,,,NA,,,,,,,,,
QINL143,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib2contig40,NA,lib2,QinLing Mountains Project,,,,NA,MEla49,Coleoptera,,,,,,Qinling,
QINL157,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib3contig37,NA,lib3,QinLing Mountains Project,,,,NA,MEla47,Coleoptera,,,,,,Qinling,
QINL166,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib4contig16,NA,lib4,QinLing Mountains Project,,,,NA,MEla28,Coleoptera,,,,,,Qinling,
QINL186,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib5contig77,NA,lib5,QinLing Mountains Project,,,,NA,MEla29,Coleoptera,,,,,,Qinling,
QINL188,,,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,,,,NA,NA,,NA,NA,NA,,NA,China,NA,NA,Nie et al,,lib5contig84,NA,lib5,QinLing Mountains Project,,,,NA,MEla23,Coleoptera,,,,,,Qinling,
